country,YEAR,ESS_wave,Wgt_median_anti_immig_pos,Wgt_mean_anti_immig_pos
ES,2006,0406_interpolation,3.5,4.222498314108525
ES,2007,2006,4,4.48122406079669
ES,2008,0608_interpolation,5,4.6178306164341265
ES,2009,2008,6,4.754437172071563
ES,2010,0810_interpolation,5,4.5487832499283085
ES,2011,2010,4,4.3431293277850544
ES,2012,1012_interpolation,3.5,4.08748904986976
ES,2013,2012,3,3.831848771954465
ES,2014,1214_interpolation,3,3.8392581311453453
ES,2015,2014,3,3.8466674903362255
ES,2016,1416_interpolation,3,3.545644936130115
ES,2017,2016,3,3.244622381924004
ES,2018,1618_interpolation,3,3.2498077145949775
FI,2003,2002,5,4.556427502622667
FI,2004,0204_interpolation,5,4.609283949596889
FI,2005,2004,5,4.66214039657111
FI,2006,0406_interpolation,5,4.614047172252617
FI,2007,2006,5,4.5659539479341245
FI,2008,0608_interpolation,4.5,4.459718781518708
FI,2009,2008,4,4.353483615103292
FI,2010,0810_interpolation,4.5,4.600387038937301
FI,2011,2010,5,4.847290462771309
FI,2012,1012_interpolation,5,4.608703460554417
FI,2013,2012,5,4.370116458337525
FI,2014,1214_interpolation,5,4.373267780430917
FI,2015,2014,5,4.3764191025243075
FI,2016,1416_interpolation,4.5,4.213488542099499
FI,2017,2016,4,4.050557981674691
FI,2018,1618_interpolation,4,4.056240328560267
FR,2003,2002,4,4.372053876038996
FR,2004,0204_interpolation,4,4.444128649095072
FR,2005,2004,4,4.516203422151149
FR,2006,0406_interpolation,4,4.46714766757022
FR,2007,2006,4,4.418091912989291
FR,2008,0608_interpolation,4,4.363604284275878
FR,2009,2008,4,4.309116655562465
FR,2010,0810_interpolation,4,4.347846117000541
FR,2011,2010,4,4.386575578438618
FR,2012,1012_interpolation,4,4.233516801207727
FR,2013,2012,4,4.080458023976836
FR,2014,1214_interpolation,4,4.127766562070748
FR,2015,2014,4,4.175075100164662
FR,2016,1416_interpolation,3.5,3.9532577615738913
FR,2017,2016,3,3.7314404229831206
